version,1.7.0
info,balls_per_over,6
info,team,Sudur Paschim Royals
info,team,Biratnagar Kings
info,gender,male
info,season,2025/26
info,date,2025/12/09
info,event,Nepal Premier League
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Biratnagar Kings
info,toss_decision,field
info,player_of_match,B Bhandari
info,umpire,LE Hannibal
info,umpire,RR Wimalasiri
info,reserve_umpire,SK Sigdel
info,tv_umpire,RMPJ Rambukwella
info,match_referee,M Nayyar
info,winner,Sudur Paschim Royals
info,winner_runs,77
info,player,Sudur Paschim Royals,Mukhtar Ahmed
info,player,Sudur Paschim Royals,B Bhandari
info,player,Sudur Paschim Royals,SP Jackson
info,player,Sudur Paschim Royals,I Pandey
info,player,Sudur Paschim Royals,DS Airee
info,player,Sudur Paschim Royals,Harmeet Singh
info,player,Sudur Paschim Royals,Aarif Sheikh
info,player,Sudur Paschim Royals,SC Kuggeleijn
info,player,Sudur Paschim Royals,Milan Bohara
info,player,Sudur Paschim Royals,H Dhami
info,player,Sudur Paschim Royals,A Bohara
info,player,Biratnagar Kings,SD Heazlett
info,player,Biratnagar Kings,F du Plessis
info,player,Biratnagar Kings,MJ Guptill
info,player,Biratnagar Kings,N Bhatta
info,player,Biratnagar Kings,Basir Ahamad
info,player,Biratnagar Kings,Lokesh Bam
info,player,Biratnagar Kings,N Joshi
info,player,Biratnagar Kings,Pratis GC
info,player,Biratnagar Kings,M de Lange
info,player,Biratnagar Kings,S Lamichhane
info,player,Biratnagar Kings,Surya Tamang
info,registry,people,A Bohara,64fb6b15
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,B Bhandari,82342b13
info,registry,people,Basir Ahamad,218c7eab
info,registry,people,DS Airee,1747ea18
info,registry,people,F du Plessis,3355b542
info,registry,people,H Dhami,bb20441f
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,I Pandey,ed547c49
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,Lokesh Bam,75c8a26b
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M de Lange,d4eef961
info,registry,people,MJ Guptill,2be41edb
info,registry,people,Milan Bohara,4546e17e
info,registry,people,Mukhtar Ahmed,456f6d99
info,registry,people,N Bhatta,f67dd650
info,registry,people,N Joshi,58c71b70
info,registry,people,Pratis GC,c1077ba3
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,SC Kuggeleijn,fef92afc
info,registry,people,SD Heazlett,e00a9155
info,registry,people,SK Sigdel,e34ab986
info,registry,people,SP Jackson,acc1aeda
info,registry,people,Surya Tamang,579f2447
ball,1,0.1,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,0,1,1,,,,,"",""
ball,1,0.2,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,0,0,,,,,,"",""
ball,1,0.3,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,0,0,,,,,,"",""
ball,1,0.4,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,1,0,,,,,,"",""
ball,1,0.5,Sudur Paschim Royals,B Bhandari,Mukhtar Ahmed,M de Lange,0,0,,,,,,"",""
ball,1,0.6,Sudur Paschim Royals,B Bhandari,Mukhtar Ahmed,M de Lange,0,0,,,,,,"",""
ball,1,0.7,Sudur Paschim Royals,B Bhandari,Mukhtar Ahmed,M de Lange,0,0,,,,,,"",""
ball,1,1.1,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,Pratis GC,0,0,,,,,,"",""
ball,1,1.2,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,Pratis GC,1,0,,,,,,"",""
ball,1,1.3,Sudur Paschim Royals,B Bhandari,Mukhtar Ahmed,Pratis GC,0,0,,,,,,"",""
ball,1,1.4,Sudur Paschim Royals,B Bhandari,Mukhtar Ahmed,Pratis GC,4,0,,,,,,"",""
ball,1,1.5,Sudur Paschim Royals,B Bhandari,Mukhtar Ahmed,Pratis GC,2,0,,,,,,"",""
ball,1,1.6,Sudur Paschim Royals,B Bhandari,Mukhtar Ahmed,Pratis GC,4,0,,,,,,"",""
ball,1,2.1,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,0,0,,,,,,"",""
ball,1,2.2,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,4,0,,,,,,"",""
ball,1,2.3,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,4,0,,,,,,"",""
ball,1,2.4,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,0,0,,,,,,"",""
ball,1,2.5,Sudur Paschim Royals,Mukhtar Ahmed,B Bhandari,M de Lange,0,0,,,,,,bowled,Mukhtar Ahmed
ball,1,2.6,Sudur Paschim Royals,SP Jackson,B Bhandari,M de Lange,1,0,,,,,,"",""
ball,1,3.1,Sudur Paschim Royals,SP Jackson,B Bhandari,Basir Ahamad,1,0,,,,,,"",""
ball,1,3.2,Sudur Paschim Royals,B Bhandari,SP Jackson,Basir Ahamad,0,0,,,,,,"",""
ball,1,3.3,Sudur Paschim Royals,B Bhandari,SP Jackson,Basir Ahamad,0,0,,,,,,"",""
