match_id,date,team1,team2,toss_winner,toss_decision,winner,winner_wickets,player_of_match,venue,city,innings1_total_runs,innings2_total_runs,innings3_total_runs,innings4_total_runs,innings1_powerplay_runs,innings2_powerplay_runs,innings3_powerplay_runs,innings4_powerplay_runs,innings1_death_over_runs,innings2_death_over_runs,innings3_death_over_runs,innings4_death_over_runs,innings1_total_wickets,innings2_total_wickets,innings3_total_wickets,innings4_total_wickets,innings1_boundary_count,innings2_boundary_count,innings3_boundary_count,innings4_boundary_count,innings1_dot_ball_count,innings2_dot_ball_count,innings3_dot_ball_count,innings4_dot_ball_count
1510996,2025/12/02,Chitwan Rhinos,Janakpur Bolts,Chitwan Rhinos,bat,Janakpur Bolts,6.0,AK Sah,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,176,180,0,0,38,59,0,0,37,19,0,0,4,4,0,0,21,25,0,0,43,26,0,0
1510997,2025/12/02,Pokhara Avengers,Karnali Yaks,Karnali Yaks,field,Pokhara Avengers,,AM Rossington,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,201,167,0,0,44,69,0,0,50,17,0,0,2,10,0,0,31,20,0,0,47,43,0,0
1510998,2025/12/03,Biratnagar Kings,Lumbini Lions,Lumbini Lions,field,Lumbini Lions,5.0,S Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,144,145,0,0,34,46,0,0,42,13,0,0,8,5,0,0,14,18,0,0,43,37,0,0
1510999,2025/12/04,Kathmandu Gorkhas,Pokhara Avengers,Pokhara Avengers,field,Kathmandu Gorkhas,,B Sharki,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,165,152,0,0,31,37,0,0,56,22,0,0,8,10,0,0,20,15,0,0,44,48,0,0
1511000,2025/12/04,Sudur Paschim Royals,Chitwan Rhinos,Chitwan Rhinos,field,Sudur Paschim Royals,,CA Lynn,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,169,120,0,0,46,36,0,0,44,9,0,0,5,10,0,0,18,15,0,0,43,40,0,0
1511001,2025/12/05,Janakpur Bolts,Lumbini Lions,Janakpur Bolts,bat,Lumbini Lions,4.0,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,132,136,0,0,36,46,0,0,31,23,0,0,6,6,0,0,11,9,0,0,44,34,0,0
1511002,2025/12/06,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,field,Biratnagar Kings,6.0,F du Plessis,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,147,150,0,0,36,87,0,0,34,0,0,0,6,4,0,0,16,22,0,0,49,18,0,0
1511003,2025/12/06,Chitwan Rhinos,Pokhara Avengers,Chitwan Rhinos,bat,Pokhara Avengers,8.0,AM Rossington,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,120,121,0,0,23,38,0,0,35,16,0,0,6,2,0,0,6,12,0,0,43,54,0,0
1511004,2025/12/07,Karnali Yaks,Janakpur Bolts,Janakpur Bolts,field,Karnali Yaks,,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,129,126,0,0,26,26,0,0,32,28,0,0,9,7,0,0,10,11,0,0,43,53,0,0
1511005,2025/12/09,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,field,Sudur Paschim Royals,,B Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,155,78,0,0,42,34,0,0,42,0,0,0,7,10,0,0,17,8,0,0,42,42,0,0
1511006,2025/12/10,Kathmandu Gorkhas,Lumbini Lions,Kathmandu Gorkhas,bat,Lumbini Lions,4.0,S Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,111,112,0,0,29,29,0,0,24,17,0,0,10,6,0,0,9,11,0,0,60,48,0,0
1511007,2025/12/11,Lumbini Lions,Biratnagar Kings,Biratnagar Kings,field,Lumbini Lions,,TR Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,134,94,0,0,44,28,0,0,30,17,0,0,8,10,0,0,13,8,0,0,46,49,0,0
1511008,2025/12/13,Sudur Paschim Royals,Lumbini Lions,Sudur Paschim Royals,bat,Lumbini Lions,6.0,R Trumpelmann,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,85,86,0,0,20,72,0,0,15,0,0,0,10,4,0,0,6,13,0,0,68,24,0,0
