match_id,date,team1,team2,toss_winner,toss_decision,winner,winner_wickets,player_of_match,venue,city
1510983,2025/11/22,Lumbini Lions,Karnali Yaks,Karnali Yaks,field,Karnali Yaks,9,MRJ Watt,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510984,2025/11/22,Kathmandu Gorkhas,Biratnagar Kings,Biratnagar Kings,field,Biratnagar Kings,5,M de Lange,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510985,2025/11/24,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,Biratnagar Kings,,S Lamichhane,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510986,2025/11/24,Sudur Paschim Royals,Karnali Yaks,Karnali Yaks,field,Sudur Paschim Royals,,DS Airee,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510987,2025/11/25,Kathmandu Gorkhas,Lumbini Lions,Lumbini Lions,field,Kathmandu Gorkhas,,Karan KC,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510988,2025/11/26,Chitwan Rhinos,Biratnagar Kings,Biratnagar Kings,field,Chitwan Rhinos,,R Kumar,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510989,2025/11/27,Lumbini Lions,Sudur Paschim Royals,Sudur Paschim Royals,field,Sudur Paschim Royals,7,B Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510990,2025/11/27,Pokhara Avengers,Janakpur Bolts,Pokhara Avengers,bat,Pokhara Avengers,,SL Verma,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510991,2025/11/28,Kathmandu Gorkhas,Chitwan Rhinos,Chitwan Rhinos,field,Kathmandu Gorkhas,,JA Simpson,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510992,2025/11/28,Karnali Yaks,Biratnagar Kings,Karnali Yaks,bat,Biratnagar Kings,3,Basir Ahamad,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510993,2025/11/29,Pokhara Avengers,Lumbini Lions,Lumbini Lions,field,Lumbini Lions,3,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510994,2025/11/29,Janakpur Bolts,Sudur Paschim Royals,Janakpur Bolts,bat,Sudur Paschim Royals,6,I Pandey,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510995,2025/11/30,Karnali Yaks,Kathmandu Gorkhas,Karnali Yaks,bat,Kathmandu Gorkhas,5,MG Erasmus,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510996,2025/12/02,Chitwan Rhinos,Janakpur Bolts,Chitwan Rhinos,bat,Janakpur Bolts,6,AK Sah,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510997,2025/12/02,Pokhara Avengers,Karnali Yaks,Karnali Yaks,field,Pokhara Avengers,,AM Rossington,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510998,2025/12/03,Biratnagar Kings,Lumbini Lions,Lumbini Lions,field,Lumbini Lions,5,S Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510999,2025/12/04,Kathmandu Gorkhas,Pokhara Avengers,Pokhara Avengers,field,Kathmandu Gorkhas,,B Sharki,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511000,2025/12/04,Sudur Paschim Royals,Chitwan Rhinos,Chitwan Rhinos,field,Sudur Paschim Royals,,CA Lynn,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511001,2025/12/05,Janakpur Bolts,Lumbini Lions,Janakpur Bolts,bat,Lumbini Lions,4,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511002,2025/12/06,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,field,Biratnagar Kings,6,F du Plessis,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511003,2025/12/06,Chitwan Rhinos,Pokhara Avengers,Chitwan Rhinos,bat,Pokhara Avengers,8,AM Rossington,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511004,2025/12/07,Karnali Yaks,Janakpur Bolts,Janakpur Bolts,field,Karnali Yaks,,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511005,2025/12/09,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,field,Sudur Paschim Royals,,B Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511006,2025/12/10,Kathmandu Gorkhas,Lumbini Lions,Kathmandu Gorkhas,bat,Lumbini Lions,4,S Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511007,2025/12/11,Lumbini Lions,Biratnagar Kings,Biratnagar Kings,field,Lumbini Lions,,TR Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511008,2025/12/13,Sudur Paschim Royals,Lumbini Lions,Sudur Paschim Royals,bat,Lumbini Lions,6,R Trumpelmann,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
